highest,monthYear,count,country
Housing,2011-12-01,79,Total
Housing,2012-01-01,156,Total
Housing,2012-02-01,87,Total
Housing,2012-03-01,86,Total
Housing,2012-04-01,75,Total
Housing,2012-05-01,1357,Total
Housing,2012-06-01,550,Total
Housing,2012-07-01,295,Total
Housing,2012-08-01,346,Total
Housing,2012-09-01,318,Total
Housing,2012-10-01,381,Total
Housing,2012-11-01,376,Total
Housing,2012-12-01,284,Total
Housing,2013-01-01,296,Total
Housing,2013-02-01,283,Total
Housing,2013-03-01,403,Total
Housing,2013-04-01,283,Total
Housing,2013-05-01,4154,Total
Housing,2013-06-01,2029,Total
Housing,2013-07-01,270,Total
Housing,2013-08-01,365,Total
Housing,2013-09-01,536,Total
Housing,2013-10-01,535,Total
Housing,2013-11-01,815,Total
Housing,2013-12-01,227,Total
Housing,2014-01-01,1373,Total
Housing,2014-02-01,585,Total
Housing,2014-03-01,599,Total
Housing,2014-04-01,634,Total
Housing,2014-05-01,1193,Total
Housing,2014-06-01,582,Total
Housing,2014-07-01,397,Total
Housing,2014-08-01,1513,Total
Housing,2014-09-01,422,Total
Housing,2014-10-01,596,Total
Housing,2014-11-01,376,Total
Housing,2014-12-01,314,Total
Housing,2015-01-01,446,Total
Housing,2015-02-01,512,Total
Housing,2015-03-01,815,Total
Housing,2015-04-01,404,Total
Housing,2015-05-01,400,Total
Housing,2015-06-01,709,Total
Housing,2015-07-01,325,Total
Housing,2015-08-01,244,Total
Housing,2015-09-01,85,Total
Income,2011-05-01,1022,Total
Income,2011-06-01,293,Total
Income,2011-07-01,64,Total
Income,2011-08-01,34,Total
Income,2011-09-01,51,Total
Income,2011-10-01,127,Total
Income,2011-11-01,112,Total
Income,2011-12-01,60,Total
Income,2012-01-01,134,Total
Income,2012-02-01,72,Total
Income,2012-03-01,66,Total
Income,2012-04-01,63,Total
Income,2012-05-01,1217,Total
Income,2012-06-01,558,Total
Income,2012-07-01,285,Total
Income,2012-08-01,331,Total
Income,2012-09-01,295,Total
Income,2012-10-01,423,Total
Income,2012-11-01,344,Total
Income,2012-12-01,255,Total
Income,2013-01-01,304,Total
Income,2013-02-01,284,Total
Income,2013-03-01,385,Total
Income,2013-04-01,271,Total
Income,2013-05-01,3893,Total
Income,2013-06-01,2053,Total
Income,2013-07-01,287,Total
Income,2013-08-01,400,Total
Income,2013-09-01,545,Total
Income,2013-10-01,592,Total
Income,2013-11-01,814,Total
Income,2013-12-01,241,Total
Income,2014-01-01,1408,Total
Income,2014-02-01,586,Total
Income,2014-03-01,613,Total
Income,2014-04-01,716,Total
Income,2014-05-01,1418,Total
Income,2014-06-01,564,Total
Income,2014-07-01,413,Total
Income,2014-08-01,1762,Total
